,0
0,すべての旅行商品
1,海外宿・ホテル海外宿・ホテル
2,航空券航空券
3,レンタカーレンタカー
4,航空券 + 宿泊航空券 + 宿泊
5,現地ツアー現地ツアー
6,国内宿・ホテル国内宿・ホテル
7,最新セール
8, 直前予約
9,グループ旅行 / 会議
10,アプリをダウンロード
11,日本語
12,宿泊施設を登録する
13,カスタマーサービス
14,旅程
15,ログイン
16,エクスペディア会員プログラム
17,保存
18,国際通りへも歩いて行ける快適なホテル
19,"900-0029, 沖縄県, 那覇市, 旭町 116-37"
20,那覇市の那覇東急REIホテルは、那覇市中心部地区のビーチの近くにあり、市内中心部に位置しています。ショッピングをするなら、国際通りやアメリカンビレッジがおすすめ。美しい自然を堪能するなら、瀬長島やサンセット ビーチへ行ってみましょう。おきなわワールドはぜひ訪れたいスポットです。 このホテルは、交通の便の良さで旅行者に好評です。旭橋駅へは徒歩 5 分、壺川駅へも 6 分です。
21,那覇市中心部に位置
22,国際通り - 徒歩 5 分
23,泊港 - 徒歩 27 分
24,DFS ギャラリア 沖縄 - 徒歩 38 分
25,那覇クルーズターミナル - 車で 2 分
26,波の上ビーチ - 車で 3 分
27,首里城 - 車で 10 分
28,瀬長島 - 車で 8 分
29,瀬長島ウミカジ テラス - 車で 10 分
30,沖縄コンベンションセンター - 車で 14 分
31,琉球大学 - 車で 17 分
32,旭橋駅から徒歩 5 分
33,那覇空港 (OKA)から車で 9 分
34,しゃぶしゃぶ 我那覇豚肉店 - 徒歩 4 分
35,Ristorante Aico x co - 徒歩 6 分
36,地鶏ダイニングあしどり - 徒歩 4 分
37,鳥玉泉崎店 - 徒歩 3 分
38,グランドストーン - 徒歩 3 分
39,国際通りの近くにあるホテル
40,国際通りの近くにあるホテル
41,那覇東急REIホテルは、泊港、首里城の近くにあり、庭園、ランドリー設備、24 時間対応ビジネスセンターを利用できます。宿泊者は、室内 WiFi (無料)、レストランなどの設備・サービスを利用できます。
42,那覇東急REIホテルは、泊港、首里城の近くにあり、庭園、ランドリー設備、24 時間対応ビジネスセンターを利用できます。宿泊者は、室内 WiFi (無料)、レストランなどの設備・サービスを利用できます。
43,また、次のような特典が利用可能です。
44,また、次のような特典が利用可能です。
45,朝食ビュッフェ (有料)、レンタル自転車、セルフパーキング (有料)電気自動車充電スタンド、全館禁煙、荷物保管サービスコンピューター ステーション、菜園、TV (ロビー内)親切なスタッフ、公共交通機関の利便性の高さが口コミで高く評価されています。 
46,客室の特長
47,客室の特長
48,全 215 室の客室で、高級寝具や冷房に加え、WiFi (無料)やボトルウォーター (無料)などの快適に滞在を楽しめる設備・サービスが用意されています。 この施設は、客室の清潔さが口コミで評判です。 
49,全 215 室の客室で、高級寝具や冷房に加え、WiFi (無料)やボトルウォーター (無料)などの快適に滞在を楽しめる設備・サービスが用意されています。 この施設は、客室の清潔さが口コミで評判です。 
50,そのほか、設備・サービスには次のものがあります。 
51,そのほか、設備・サービスには次のものがあります。 
52,リサイクル、LED 電球、環境にやさしい洗剤バスルーム (環境にやさしいバスアメニティ、洗浄機付トイレあり)26 インチ 薄型テレビ (衛星放送あり)冷蔵庫、電気ポット、毎日の客室清掃
53,日本語
54,全室 : WiFi (無料)、有線インターネット (無料)
55,共用エリア : WiFi (無料)
56,敷地内にセルフパーキング (1 泊につき 1500 円)
57,敷地内に駐車場 (台数制限あり)
58,敷地内に電気自動車充電スタンド
59,敷地内の駐車場には車高制限があります
60,朝食 (ビュッフェ) を提供 (毎日 7:00 ～ 10:00、有料 : 大人 1600 円、子供 800 円)
61,1 か所のレストラン
62,自転車レンタル
63,ランドリー設備
64,冷蔵庫
65,エレベーター
66,自動販売機
67,ウォーターサーバー
68,24 時間対応フロントデスク
69,シーツ交換 (要リクエスト)
70,タオル交換 (要リクエスト)
71,客室清掃(毎日)
72,ランドリー設備
73,荷物保管サービス
74,24 時間対応ビジネスセンター
75,コンピューター ステーション
76,庭園
77,菜園
78,特定のバリアフリー設備をご希望の場合は、予約後に送信される予約確認メールに記載の連絡先をご確認のうえ、宿泊施設に直接ご連絡ください。
79,エレベーター
80,車椅子対応フロント
81,車椅子対応 (場合により制限あり)
82,100% 再生可能エネルギー
83,80% 以上 LED 照明
84,80% 以上地元産の食材
85,80% 以上オーガニックフード
86,生分解性マドラー
87,生分解性ストロー
88,食品ロスに関するルール
89,二重窓
90,地元アーティストの表現の場
91,地元のガイドや団体によるツアー / アクティビティ
92,プラスチックマドラー不使用
93,プラスチックストロー不使用
94,ペットボトル炭酸飲料の提供なし
95,ペットボトル飲料水の提供なし
96,再利用可能なコップのみ使用
97,再利用可能な食器のみ使用
98,全館禁煙
99,テレビ (ロビー)
100,ビーガン料理のオプション
101,ベジタリアン料理のオプション
102,冷房
103,ベッドシーツ
104,高級寝具
105,ビデ
106,環境にやさしいバスアメニティ
107,ヘアドライヤー
108,専用バスルーム
109,シャンプー
110,トイレットペーパー
111,タオル
112,26 インチ薄型テレビ
113, 有料ムービー
114, 衛星放送
115,電気ケトル
116,ボトルウォーター (無料)
117,冷蔵庫
118,環境にやさしい洗剤を用意
119,省電力スイッチ
120,アイロン / アイロン台 (要リクエスト)
121,LED 電球
122,電話
123,リサイクル
124,スリッパ
125,節水シャワーのみ
